root_id,type,family,subsystem,category,side
720575940626034435,T5d,T5 Neuron,Motion,intrinsic,left
720575940626035789,L3,Lamina Monopolar,Luminance,intrinsic,right
720575940626036170,L1,Lamina Monopolar,ON,intrinsic,left
720575940626036922,Tm9,Transmedullary,Motion,intrinsic,right
720575940626037434,T4c,T4 Neuron,Motion,intrinsic,left
720575940626037648,Tm33,Transmedullary,Color,intrinsic,right
720575940626037948,C3,Centrifugal,ON,intrinsic,left
720575940626038416,Tm4,Transmedullary,OFF,intrinsic,right
720575940626038460,R7,Photo Receptors,Photoreceptors,intrinsic,left
720575940626039068,T5a,T5 Neuron,Motion,intrinsic,right
720575940626039129,LC10a,LC,,boundary,right
720575940626039228,Tm1,Transmedullary,OFF,intrinsic,right
720575940626039315,Tm9,Transmedullary,Motion,intrinsic,right
720575940626039373,R1-6,Photo Receptors,Photoreceptors,intrinsic,right
720575940626039689,T2a,T2 Neuron,Object,intrinsic,left
720575940626039696,Sm06,Serpentine Medulla,Color,intrinsic,right
720575940626039996,Pm14,Proximal Medulla,Color,intrinsic,left
720575940626040508,C3,Centrifugal,ON,intrinsic,right
720575940626040624,Y12,Y Neuron,Motion,intrinsic,right
720575940626041109,L3,Lamina Monopolar,Luminance,intrinsic,left
720575940626041276,Li11,Lobula Intrinsic,Color,intrinsic,right
720575940626041392,TmY14,Transmedullary Y,Object,intrinsic,left
720575940626042126,Dm9,Distal Medulla,Luminance,intrinsic,right
720575940626042314,L3,Lamina Monopolar,Luminance,intrinsic,left
720575940626042416,Tm9,Transmedullary,Motion,intrinsic,left
720575940626042812,L5,Lamina Monopolar,ON,intrinsic,right
720575940626043180,Tm20,Transmedullary,Color,intrinsic,right
720575940626043440,T4a,T4 Neuron,Motion,intrinsic,left
720575940626043696,T4d,T4 Neuron,Motion,intrinsic,left
720575940626043943,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940626044348,R8,Photo Receptors,Photoreceptors,intrinsic,right
720575940626044455,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940626044734,T5a,T5 Neuron,Motion,intrinsic,right
720575940626044942,OA-AL2b2,OA,,boundary,"left,right"
720575940626045223,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940626045352,Mi9,Medulla Intrinsic,Luminance,intrinsic,left
720575940626045479,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940626046000,T5d,T5 Neuron,Motion,intrinsic,left
720575940626046723,T5c,T5 Neuron,Motion,intrinsic,left
720575940626047492,T4a,T4 Neuron,Motion,intrinsic,right
720575940626047506,Dm3q,Distal Medulla,Form,intrinsic,right
720575940626048100,Dm15,Distal Medulla,OFF,intrinsic,right
720575940626048787,Tm2,Transmedullary,OFF,intrinsic,right
720575940626048816,Tm5b,Transmedullary,Color,intrinsic,right
720575940626049466,TmY10,Transmedullary Y,Color,intrinsic,right
720575940626049575,C3,Centrifugal,ON,intrinsic,right
720575940626049613,R1-6,Photo Receptors,Photoreceptors,intrinsic,right
720575940626049881,T5c,T5 Neuron,Motion,intrinsic,right
720575940626050062,Dm8b,Distal Medulla,Color,intrinsic,right
720575940626050125,LPi05,Lobula Plate Intrinsic,Motion,intrinsic,right
720575940626050490,T4b,T4 Neuron,Motion,intrinsic,right
720575940626050826,Mi4,Medulla Intrinsic,Color,intrinsic,right
720575940626051002,Mi10,Medulla Intrinsic,Color,intrinsic,left
720575940626051086,Li10,Lobula Intrinsic,Color,intrinsic,left
720575940626051111,C3,Centrifugal,ON,intrinsic,left
720575940626051386,Mi2,Medulla Intrinsic,Object,intrinsic,right
720575940626051516,MeTu1,MeTu,,boundary,left
720575940626051850,Sm01,Serpentine Medulla,Color,intrinsic,right
720575940626051940,Tm4,Transmedullary,OFF,intrinsic,left
720575940626052752,T3,T3 Neuron,Object,intrinsic,left
720575940626053390,T1,T1 Neuron,OFF,intrinsic,right
720575940626053732,T5b,T5 Neuron,Motion,intrinsic,left
720575940626053936,T4d,T4 Neuron,Motion,intrinsic,right
720575940626054032,Tm4,Transmedullary,OFF,intrinsic,right
720575940626054183,L1,Lamina Monopolar,ON,intrinsic,left
720575940626054733,R1-6,Photo Receptors,Photoreceptors,intrinsic,right
720575940626055994,LCe04,LC,,boundary,right
720575940626056344,T5d,T5 Neuron,Motion,intrinsic,left
720575940626056581,Tm25,Transmedullary,Object,intrinsic,right
720575940626057097,LLPC2,LLPC,,boundary,left
720575940626057486,LC20b,LC,,boundary,right
720575940626057998,T4c,T4 Neuron,Motion,intrinsic,left
720575940626058128,Tm3,Transmedullary,ON,intrinsic,right
720575940626059920,Mi4,Medulla Intrinsic,Color,intrinsic,left
720575940626060327,L1,Lamina Monopolar,ON,intrinsic,left
720575940626061756,T5d,T5 Neuron,Motion,intrinsic,right
720575940626062012,L5,Lamina Monopolar,ON,intrinsic,left
720575940626062268,T5c,T5 Neuron,Motion,intrinsic,left
720575940626062681,LC10a,LC,,boundary,left
720575940626063036,Pm02,Proximal Medulla,Object,intrinsic,left
720575940626063292,T5d,T5 Neuron,Motion,intrinsic,right
720575940626063653,T3,T3 Neuron,Object,intrinsic,left
720575940626064316,MLt1,Medulla Lobula Tangential,Object,intrinsic,left
720575940626064423,L3,Lamina Monopolar,Luminance,intrinsic,left
720575940626064456,Mi1,Medulla Intrinsic,ON,intrinsic,right
720575940626065447,R8,Photo Receptors,Photoreceptors,intrinsic,left
720575940626065508,Tm20,Transmedullary,Color,intrinsic,left
720575940626065753,T5b,T5 Neuron,Motion,intrinsic,right
720575940626065948,C2,Centrifugal,ON,intrinsic,right
720575940626066618,Tm2,Transmedullary,OFF,intrinsic,right
720575940626067258,T4a,T4 Neuron,Motion,intrinsic,left
720575940626068068,T3,T3 Neuron,Object,intrinsic,left
720575940626068755,C3,Centrifugal,ON,intrinsic,left
720575940626068836,Sm05,Serpentine Medulla,Luminance,intrinsic,right
720575940626069050,Sm02,Serpentine Medulla,Color,intrinsic,left
720575940626070064,Y12,Y Neuron,Motion,intrinsic,left
720575940626070123,Mi1,Medulla Intrinsic,ON,intrinsic,left
720575940626070291,T2,T2 Neuron,Object,intrinsic,right
720575940626070349,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940626070714,T4c,T4 Neuron,Motion,intrinsic,right
720575940626070716,Tm27,Transmedullary,Object,intrinsic,left
720575940626071054,LC46,LC,,boundary,right
720575940626071738,T5a,T5 Neuron,Motion,intrinsic,right
720575940626071822,Dm1,Distal Medulla,ON,intrinsic,right
720575940626072085,Mi15,Medulla Intrinsic,Luminance,intrinsic,right
720575940626072141,Tm27,Transmedullary,Object,intrinsic,left
720575940626072250,T5b,T5 Neuron,Motion,intrinsic,left
720575940626072397,R8,Photo Receptors,Photoreceptors,intrinsic,left
720575940626072909,Li17,Lobula Intrinsic,Object,intrinsic,right
720575940626073098,LC17,LC,,boundary,right
720575940626075322,Tm4,Transmedullary,OFF,intrinsic,left
720575940626075580,Mi9,Medulla Intrinsic,Luminance,intrinsic,right
720575940626075725,MLt6,Medulla Lobula Tangential,Color,intrinsic,left
720575940626075850,Mi15,Medulla Intrinsic,Luminance,intrinsic,left
720575940626076455,Tm16,Transmedullary,Color,intrinsic,right
720575940626076560,Mi9,Medulla Intrinsic,Luminance,intrinsic,left
720575940626077186,Mi13,Medulla Intrinsic,OFF,intrinsic,right
720575940626077261,Dm3p,Distal Medulla,Form,intrinsic,right
720575940626077735,MTe07,MT,,boundary,"left,right"
720575940626078759,Dm1,Distal Medulla,ON,intrinsic,right
720575940626078864,Tm3,Transmedullary,ON,intrinsic,right
720575940626079015,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940626079260,T3,T3 Neuron,Object,intrinsic,left
720575940626079269,Tm1,Transmedullary,OFF,intrinsic,right
720575940626079376,TmY5a,Transmedullary Y,Object,intrinsic,right
720575940626079565,Tm5a,Transmedullary,Color,intrinsic,left
720575940626079781,Dm2,Distal Medulla,Luminance,intrinsic,left
720575940626080356,T4d,T4 Neuron,Motion,intrinsic,right
720575940626080570,Tm1,Transmedullary,OFF,intrinsic,right
720575940626081212,Sm07,Serpentine Medulla,Color,intrinsic,right
720575940626081466,T3,T3 Neuron,Object,intrinsic,right
720575940626081573,MLt6,Medulla Lobula Tangential,Color,intrinsic,right
720575940626081724,L3,Lamina Monopolar,Luminance,intrinsic,right
720575940626081929,Tm31,Transmedullary,Color,intrinsic,right
720575940626082192,Sm13,Serpentine Medulla,Color,intrinsic,right
720575940626082588,Lawf2,Lamina Wide Field,ON,intrinsic,right
720575940626082693,Dm3v,Distal Medulla,Form,intrinsic,right
720575940626082855,LC26,LC,,boundary,right
720575940626083623,C3,Centrifugal,ON,intrinsic,left
720575940626083770,T4a,T4 Neuron,Motion,intrinsic,left
720575940626084240,T2a,T2 Neuron,Object,intrinsic,left
720575940626084697,Tm5d,Transmedullary,Color,intrinsic,left
720575940626085157,T3,T3 Neuron,Object,intrinsic,right
720575940626085264,Mi1,Medulla Intrinsic,ON,intrinsic,right
720575940626085395,Mi15,Medulla Intrinsic,Luminance,intrinsic,right
720575940626085519,L4,Lamina Monopolar,OFF,intrinsic,right
720575940626085646,Pm02,Proximal Medulla,Object,intrinsic,right
720575940626085669,Mi14,Medulla Intrinsic,Object,intrinsic,left
720575940626085706,LC17,LC,,boundary,left
720575940626085776,Li05,Lobula Intrinsic,Color,intrinsic,right
720575940626086013,LT70,LT,,boundary,left
720575940626086146,T4c,T4 Neuron,Motion,intrinsic,right
720575940626087178,TmY11,Transmedullary Y,Color,intrinsic,right
720575940626087322,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940626087426,Y12,Y Neuron,Motion,intrinsic,right
720575940626087568,Tm3,Transmedullary,ON,intrinsic,right
720575940626087728,Tm3,Transmedullary,ON,intrinsic,left
720575940626087824,Dm3p,Distal Medulla,Form,intrinsic,right
720575940626087980,Tm1,Transmedullary,OFF,intrinsic,right
720575940626088229,TmY3,Transmedullary Y,Object,intrinsic,right
720575940626089260,Mi9,Medulla Intrinsic,Luminance,intrinsic,right
720575940626089609,Mi1,Medulla Intrinsic,ON,intrinsic,right
720575940626090242,T3,T3 Neuron,Object,intrinsic,right
720575940626090244,Tm1,Transmedullary,OFF,intrinsic,left
720575940626090279,Dm18,Distal Medulla,ON,intrinsic,right
720575940626090766,Lawf1,Lamina Wide Field,OFF,intrinsic,right
720575940626091326,MLt7,Medulla Lobula Tangential,Color,intrinsic,left
720575940626091578,Dm2,Distal Medulla,Luminance,intrinsic,right
720575940626091597,L2,Lamina Monopolar,OFF,intrinsic,right
720575940626091609,TmY15,Transmedullary Y,Object,intrinsic,right
720575940626091672,Tm4,Transmedullary,OFF,intrinsic,right
720575940626091706,T4a,T4 Neuron,Motion,intrinsic,right
720575940626091778,T2,T2 Neuron,Object,intrinsic,right
720575940626091962,T4d,T4 Neuron,Motion,intrinsic,left
720575940626092034,Y3,Y Neuron,Object,intrinsic,right
720575940626092071,Mi4,Medulla Intrinsic,Color,intrinsic,right
720575940626092080,L5,Lamina Monopolar,ON,intrinsic,right
720575940626092169,Sm08,Serpentine Medulla,Color,intrinsic,left
720575940626092218,T4a,T4 Neuron,Motion,intrinsic,right
720575940626092290,T5c,T5 Neuron,Motion,intrinsic,right
720575940626093114,Li05,Lobula Intrinsic,Color,intrinsic,left
720575940626093193,T1,T1 Neuron,OFF,intrinsic,left
720575940626093242,T2a,T2 Neuron,Object,intrinsic,left
720575940626093616,T4c,T4 Neuron,Motion,intrinsic,left
720575940626093770,Tm20,Transmedullary,Color,intrinsic,left
720575940626094094,Tm5d,Transmedullary,Color,intrinsic,right
720575940626094119,R1-6,Photo Receptors,Photoreceptors,intrinsic,left
720575940626094346,Tm5c,Transmedullary,Color,intrinsic,left
720575940626094413,R8,Photo Receptors,Photoreceptors,intrinsic,right
720575940626094725,Dm3p,Distal Medulla,Form,intrinsic,right
720575940626094794,T4b,T4 Neuron,Motion,intrinsic,right
720575940626094862,Mi9,Medulla Intrinsic,Luminance,intrinsic,right
720575940626094885,T3,T3 Neuron,Object,intrinsic,right
720575940626095106,Tm5f,Transmedullary,Color,intrinsic,right
720575940626095504,L2,Lamina Monopolar,OFF,intrinsic,right
720575940626096016,Tm3,Transmedullary,ON,intrinsic,right
720575940626096398,Tm2,Transmedullary,OFF,intrinsic,left
720575940626096517,Tm25,Transmedullary,Object,intrinsic,left
720575940626097040,Mi9,Medulla Intrinsic,Luminance,intrinsic,left
720575940626097189,T4a,T4 Neuron,Motion,intrinsic,right
720575940626097241,R1-6,Photo Receptors,Photoreceptors,intrinsic,right
720575940626097296,L2,Lamina Monopolar,OFF,intrinsic,right
720575940626097681,LC18,LC,,boundary,left
720575940626097741,Mi2,Medulla Intrinsic,Object,intrinsic,left
720575940626098178,T2,T2 Neuron,Object,intrinsic,right
720575940626098234,Sm04,Serpentine Medulla,Color,intrinsic,left
720575940626098238,T4a,T4 Neuron,Motion,intrinsic,left
720575940626098565,Dm15,Distal Medulla,OFF,intrinsic,left
720575940626098705,MTe06,MT,,boundary,left
720575940626098725,Tm9,Transmedullary,Motion,intrinsic,right
720575940626098946,Y1,Y Neuron,Motion,intrinsic,right
720575940626099219,Tm20,Transmedullary,Color,intrinsic,left
720575940626099289,Tlp4,Translobula Plate,Motion,intrinsic,right
720575940626099493,Tm20,Transmedullary,Color,intrinsic,right
720575940626099970,T5a,T5 Neuron,Motion,intrinsic,right
720575940626100112,Tm4,Transmedullary,OFF,intrinsic,right
720575940626100238,Mi1,Medulla Intrinsic,ON,intrinsic,right
720575940626100313,Tm1,Transmedullary,OFF,intrinsic,right
720575940626100499,TmY11,Transmedullary Y,Color,intrinsic,right
720575940626100825,Y3,Y Neuron,Object,intrinsic,left
720575940626101434,Tm4,Transmedullary,OFF,intrinsic,left
720575940626101450,C3,Centrifugal,ON,intrinsic,right
720575940626101788,T5b,T5 Neuron,Motion,intrinsic,right
720575940626102311,Lai,Lamina Intrinsic,OFF,intrinsic,right
